epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.04766,2.90817,5.5836,2.30524,0.00134,0.125,0.00121,0.00036,2.43753,7.15014,1.82744,1.25e-05,1.25e-05,1.25e-05
2,1.56978,2.88772,5.52904,2.34608,0.00134,0.125,0.00129,0.00039,2.48304,7.04154,1.85696,3.67575e-05,3.67575e-05,3.67575e-05
3,2.08798,2.78541,5.18678,2.22867,0.00139,0.125,0.00142,0.00043,2.5378,7.03221,1.89165,6.0025e-05,6.0025e-05,6.0025e-05
4,2.63437,2.66387,4.76395,2.07561,0.03991,0.5,0.0905,0.04696,2.36457,3.6684,1.71973,8.23025e-05,8.23025e-05,8.23025e-05
5,3.33502,2.40637,3.83797,2.06721,0.55741,0.19113,0.15988,0.07869,2.19543,3.12444,1.57824,0.00010359,0.00010359,0.00010359
6,4.05462,2.41458,3.41197,1.87879,0.86858,0.25,0.29021,0.1473,2.13428,2.70352,1.55795,0.000123888,0.000123888,0.000123888
7,4.75099,2.16748,2.7857,1.76006,0.20546,0.5,0.34161,0.19401,1.9826,2.5784,1.49046,0.000143195,0.000143195,0.000143195
8,5.47857,2.05689,3.04959,1.87581,0.17381,0.497,0.31516,0.18629,1.8381,2.82681,1.47275,0.000161513,0.000161513,0.000161513
9,6.16001,1.8734,2.40515,1.61259,0.1767,0.5,0.3191,0.19341,1.88598,3.06158,1.49275,0.00017884,0.00017884,0.00017884
10,6.81705,1.94464,2.55058,1.69665,0.30087,0.5,0.38332,0.21827,1.9659,2.88911,1.58227,0.000195178,0.000195178,0.000195178
11,7.53363,1.89043,2.24178,1.44926,0.34303,0.625,0.48701,0.25957,2.10596,2.73846,1.65898,0.000210525,0.000210525,0.000210525
12,8.24466,1.60255,1.91022,1.38693,0.34303,0.625,0.48701,0.25957,2.10596,2.73846,1.65898,0.000224883,0.000224883,0.000224883
13,8.96635,1.78927,2.08938,1.52512,0.52318,0.58354,0.53901,0.28712,2.17478,2.39946,1.69854,0.00023825,0.00023825,0.00023825
14,9.68002,1.82066,1.95938,1.43319,0.28233,0.5,0.50547,0.2918,2.11,2.01268,1.68787,0.000250627,0.000250627,0.000250627
15,10.3933,1.6283,1.86741,1.46145,0.28233,0.5,0.50547,0.2918,2.11,2.01268,1.68787,0.000262015,0.000262015,0.000262015
16,11.1148,1.67305,1.74824,1.44151,0.62912,0.5,0.4975,0.29977,2.06589,1.82615,1.6759,0.000272412,0.000272412,0.000272412
17,11.8328,1.54276,1.81042,1.41888,0.68727,0.5,0.4975,0.32335,1.99153,1.75992,1.67175,0.00028182,0.00028182,0.00028182
18,12.55,1.57113,1.69311,1.33432,0.68727,0.5,0.4975,0.32335,1.99153,1.75992,1.67175,0.000290237,0.000290237,0.000290237
19,13.2674,1.41654,1.53211,1.38716,0.67545,0.48688,0.4975,0.32329,2.04681,1.49004,1.65411,0.000297665,0.000297665,0.000297665
20,13.9003,1.5075,1.58437,1.46588,0.67545,0.48688,0.4975,0.32329,2.04681,1.49004,1.65411,0.000304103,0.000304103,0.000304103
21,14.5606,1.32152,1.26012,1.21321,0.9484,0.49354,0.56863,0.33143,1.84678,1.21703,1.52754,0.00030955,0.00030955,0.00030955
22,15.242,1.30184,1.41061,1.30934,0.9484,0.49354,0.56863,0.33143,1.84678,1.21703,1.52754,0.000314008,0.000314008,0.000314008
23,15.9325,1.35,1.42429,1.33018,0.97869,0.5,0.52686,0.35184,1.76831,1.42765,1.50723,0.000317475,0.000317475,0.000317475
24,16.6137,1.22223,1.20032,1.26033,0.97869,0.5,0.52686,0.35184,1.76831,1.42765,1.50723,0.000319953,0.000319953,0.000319953
25,17.3233,1.45148,1.50447,1.26796,0.99214,0.48669,0.50376,0.3487,1.84613,1.58143,1.5339,0.00032144,0.00032144,0.00032144
26,17.9618,1.23831,1.1968,1.21434,0.99214,0.48669,0.50376,0.3487,1.84613,1.58143,1.5339,0.000321938,0.000321938,0.000321938
27,18.5886,1.18181,1.26078,1.21214,0.99214,0.48669,0.50376,0.3487,1.84613,1.58143,1.5339,0.000321445,0.000321445,0.000321445
28,19.2485,1.13462,1.13075,1.14622,0.99141,0.48652,0.4975,0.33568,1.86278,1.60856,1.52607,0.000319962,0.000319962,0.000319962
29,19.9129,1.2035,1.14137,1.24604,0.99141,0.48652,0.4975,0.33568,1.86278,1.60856,1.52607,0.00031749,0.00031749,0.00031749
30,20.5806,1.28591,1.44188,1.3841,0.96192,0.49083,0.4975,0.33927,1.80607,1.29955,1.502,0.000314028,0.000314028,0.000314028
31,21.2359,1.25189,1.16534,1.27256,0.96192,0.49083,0.4975,0.33927,1.80607,1.29955,1.502,0.000309575,0.000309575,0.000309575
32,21.8936,1.28199,1.40934,1.2974,0.96192,0.49083,0.4975,0.33927,1.80607,1.29955,1.502,0.000304132,0.000304132,0.000304132
33,22.5611,1.09563,0.99434,1.14837,0.97778,0.49975,0.49833,0.35326,1.82324,1.20249,1.49317,0.0002977,0.0002977,0.0002977
34,23.2103,1.10392,1.17374,1.26211,0.97778,0.49975,0.49833,0.35326,1.82324,1.20249,1.49317,0.000290277,0.000290277,0.000290277
35,23.8699,1.05409,1.06911,1.17275,0.97778,0.49975,0.49833,0.35326,1.82324,1.20249,1.49317,0.000281865,0.000281865,0.000281865
36,24.5484,1.05181,1.02607,1.15018,0.96625,0.49647,0.50662,0.34163,1.78808,1.08076,1.4819,0.000272463,0.000272463,0.000272463
37,25.2154,1.11692,0.94995,1.12811,0.96625,0.49647,0.50662,0.34163,1.78808,1.08076,1.4819,0.00026207,0.00026207,0.00026207
38,25.8987,0.9418,1.07154,1.15573,0.96625,0.49647,0.50662,0.34163,1.78808,1.08076,1.4819,0.000250687,0.000250687,0.000250687
39,26.546,0.90172,0.93709,1.09257,0.9382,0.49197,0.51038,0.34947,1.73752,1.12378,1.45402,0.000238315,0.000238315,0.000238315
40,27.1834,1.04936,1.09303,1.20745,0.9382,0.49197,0.51038,0.34947,1.73752,1.12378,1.45402,0.000224952,0.000224952,0.000224952
41,31.3455,1.08703,1.24596,1.11282,0.9382,0.49197,0.51038,0.34947,1.73752,1.12378,1.45402,0.0002106,0.0002106,0.0002106
42,32.063,1.02623,1.20214,1.11632,0.90992,0.47979,0.50485,0.36207,1.59687,1.25906,1.39282,0.000195258,0.000195258,0.000195258
43,32.7479,1.11965,1.16682,1.15469,0.90992,0.47979,0.50485,0.36207,1.59687,1.25906,1.39282,0.000178925,0.000178925,0.000178925
44,33.4544,1.11969,1.03813,1.1337,0.90992,0.47979,0.50485,0.36207,1.59687,1.25906,1.39282,0.000161603,0.000161603,0.000161603
45,34.1292,0.94644,0.99739,1.08652,0.90992,0.47979,0.50485,0.36207,1.59687,1.25906,1.39282,0.00014329,0.00014329,0.00014329
46,34.8298,0.96471,1.04924,1.10018,0.92616,0.4894,0.50588,0.36224,1.61144,1.28176,1.40992,0.000123987,0.000123987,0.000123987
47,35.4781,0.98882,1.07671,1.1367,0.92616,0.4894,0.50588,0.36224,1.61144,1.28176,1.40992,0.000103695,0.000103695,0.000103695
48,36.1648,1.02653,1.14197,1.11176,0.92616,0.4894,0.50588,0.36224,1.61144,1.28176,1.40992,8.24125e-05,8.24125e-05,8.24125e-05
49,36.8401,0.93053,1.05698,1.13404,0.92616,0.4894,0.50588,0.36224,1.61144,1.28176,1.40992,6.014e-05,6.014e-05,6.014e-05
50,37.5275,1.01663,1.13272,1.12294,0.92935,0.49101,0.50544,0.34965,1.67144,1.22762,1.4542,3.68775e-05,3.68775e-05,3.68775e-05
